Fecha Feriado;Feriado;Laborable;Se corrió;Fecha Celebrado
1/1/2021;Año Nuevo;No;No;1/1/2021
6/1/2021;Día de Reyes;Si;No;6/1/2021
15/2/2021;Carnaval;Si;No;15/2/2021
16/2/2021;Carnaval;Si;No;16/2/2021
1/4/2021;Semana de Turismo;Si;No;1/4/2021
2/4/2021;Semana de Turismo;Si;No;2/4/2021
19/4/2021;Desembarco de los 33 Orientales;Si;No;19/4/2021
1/5/2021;Día del Trabajador;No;No;1/5/2021
19/6/2021;Natalicio de Artigas;Si;No;19/6/2021
18/7/2021;Jura de la Constitución;No;No;18/7/2021
25/8/2021;Declaratoria de la Independencia;No;No;25/8/2021
12/10/2021;Día de la Raza;Si;Si;11/10/2021
2/11/2021;Día de los Difuntos;Si;No;2/11/2021
25/12/2021;Navidad;No;No;25/12/2021
1/1/2022;Año Nuevo;No;No;1/1/2022
6/1/2022;Día de Reyes;Si;No;6/1/2022
28/2/2022;Carnaval;Si;No;28/2/2022
1/3/2022;Carnaval;Si;No;1/3/2022
14/4/2022;Semana de Turismo;Si;No;14/4/2022
15/4/2022;Semana de Turismo;Si;No;15/4/2022
19/4/2022;Desembarco de los 33 Orientales;Si;Si;18/4/2022
1/5/2022;Día del Trabajador;No;No;1/5/2022
19/6/2022;Natalicio de Artigas;Si;No;19/6/2022
18/7/2022;Jura de la Constitución;No;No;18/7/2022
25/8/2022;Declaratoria de la Independencia;No;No;25/8/2022
12/10/2022;Día de la Raza;Si;Si;10/10/2022
2/11/2022;Día de los Difuntos;Si;No;2/11/2022
25/12/2022;Navidad;No;No;25/12/2022
1/1/2023;Año Nuevo;No;No;1/1/2023
6/1/2023;Día de Reyes;Si;No;6/1/2023
20/2/2023;Carnaval;Si;No;20/2/2023
21/2/2023;Carnaval;Si;No;21/2/2023
6/4/2023;Semana de Turismo;Si;No;6/4/2023
7/4/2023;Semana de Turismo;Si;No;7/4/2023
19/4/2023;Desembarco de los 33 Orientales;Si;Si;17/4/2023
1/5/2023;Día del Trabajador;No;No;1/5/2023
19/6/2023;Natalicio de Artigas;Si;No;19/6/2023
18/7/2023;Jura de la Constitución;No;No;18/7/2023
25/8/2023;Declaratoria de la Independencia;No;No;25/8/2023
12/10/2023;Día de la Raza;Si;Si;13/10/2023
2/11/2023;Día de los Difuntos;Si;No;2/11/2023
25/12/2023;Navidad;No;No;25/12/2023
1/1/2024;Año Nuevo;No;No;1/1/2024
6/1/2024;Día de Reyes;Si;No;6/1/2024
12/2/2024;Carnaval;Si;No;12/2/2024
13/2/2024;Carnaval;Si;No;13/2/2024
28/3/2024;Semana de Turismo;Si;No;28/3/2024
29/3/2024;Semana de Turismo;Si;No;29/3/2024
19/4/2024;Desembarco de los 33 Orientales;Si;No;19/4/2024
1/5/2024;Día del Trabajador;No;No;1/5/2024
19/6/2024;Natalicio de Artigas;Si;No;19/6/2024
18/7/2024;Jura de la Constitución;No;No;18/7/2024
25/8/2024;Declaratoria de la Independencia;No;No;25/8/2024
12/10/2024;Día de la Raza;Si;No;12/10/2024
2/11/2024;Día de los Difuntos;Si;No;2/11/2024
25/12/2024;Navidad;No;No;25/12/2024
